time,wx (rad/s),wy (rad/s),wz (rad/s)
12.858,0.01,0.00,-0.01
12.859,0.01,0.00,-0.01
12.862,0.00,0.00,-0.01
12.863,-0.00,0.00,-0.01
12.867,-0.00,0.01,-0.01
12.867,-0.00,0.01,-0.00
12.872,-0.01,0.01,-0.00
12.873,-0.01,0.01,-0.00
12.878,-0.01,0.01,-0.00
12.878,-0.01,0.01,-0.00
12.882,-0.01,0.01,-0.00
12.882,-0.01,0.01,-0.00
12.888,-0.01,0.01,-0.00
12.888,-0.01,0.01,-0.00
12.892,-0.01,0.01,0.00
12.892,-0.01,0.01,0.00
12.898,-0.01,0.01,0.00
12.898,-0.01,0.01,0.00
12.903,-0.01,0.01,0.00
12.904,-0.01,0.01,0.00
12.906,-0.01,0.00,0.00
12.907,-0.01,0.00,0.00
12.911,-0.01,0.00,-0.00
12.912,-0.01,0.00,-0.00
12.916,-0.01,0.00,-0.00
12.917,-0.01,0.00,-0.00
12.922,-0.01,0.00,-0.00
12.922,-0.01,0.00,-0.00
12.926,-0.00,0.00,-0.00
12.927,-0.00,0.00,-0.00
12.931,-0.00,0.00,-0.01
12.932,-0.01,0.00,-0.01
12.936,-0.01,0.00,-0.01
12.936,-0.01,0.00,-0.01
12.942,-0.01,-0.00,-0.01
12.942,-0.01,-0.00,-0.01
12.947,-0.01,-0.00,-0.01
12.947,-0.01,-0.00,-0.01
12.956,-0.01,-0.00,-0.01
12.957,-0.01,-0.00,-0.01
12.957,-0.01,0.00,-0.01
12.957,-0.01,0.00,-0.01
12.960,-0.01,-0.00,-0.01
12.961,-0.01,0.00,-0.01
12.965,-0.01,0.00,-0.01
12.965,-0.01,-0.00,-0.01
12.970,-0.01,-0.00,-0.01
12.970,-0.01,0.00,-0.01
12.975,-0.01,0.00,-0.01
12.975,-0.01,-0.00,-0.01
12.981,-0.01,0.00,-0.01
12.981,-0.01,-0.00,-0.01
12.984,-0.01,-0.00,-0.01
12.985,-0.01,-0.00,-0.01
12.989,-0.01,-0.00,-0.00
12.989,-0.01,0.00,-0.01
12.994,-0.01,-0.00,-0.00
12.995,-0.01,0.00,-0.00
13.000,-0.01,-0.00,-0.00
13.000,-0.01,-0.00,-0.00
13.005,-0.00,-0.00,-0.00
13.005,-0.00,0.00,-0.00
13.009,-0.00,0.00,-0.00
13.010,-0.00,-0.00,-0.00
13.016,-0.00,0.00,0.00
13.017,-0.00,0.00,-0.00
13.019,-0.00,0.00,-0.00
13.019,-0.00,0.00,-0.00
13.023,-0.00,0.00,-0.00
13.023,-0.00,0.00,-0.00
13.029,-0.00,0.00,-0.00
13.029,-0.00,0.00,-0.00
13.034,-0.00,0.00,-0.00
13.034,-0.00,0.00,-0.00
13.039,-0.00,0.00,-0.00
13.040,0.00,0.00,-0.00
13.045,0.00,0.00,-0.00
13.046,0.00,-0.00,-0.00
13.051,0.00,-0.00,-0.00
13.051,0.00,-0.00,-0.00
13.053,0.00,0.00,-0.00
13.053,0.00,-0.00,-0.00
13.058,0.00,0.00,-0.00
13.058,0.00,0.00,-0.00
13.062,-0.00,0.01,-0.00
13.063,-0.00,0.01,-0.00
13.067,-0.00,0.01,-0.00
13.068,-0.00,0.01,-0.00
13.072,-0.01,0.01,-0.00
13.073,-0.01,0.01,-0.00
13.078,-0.01,0.01,-0.00
13.078,-0.01,0.01,-0.00
13.082,-0.01,0.01,-0.00
13.082,-0.01,0.01,-0.00
13.087,-0.01,0.01,-0.00
13.087,-0.01,0.00,-0.00
13.093,-0.01,0.00,-0.00
13.093,-0.01,0.00,-0.01
13.098,-0.00,0.00,-0.00
13.098,-0.00,-0.00,-0.00
13.101,-0.00,0.00,-0.00
13.101,0.00,-0.00,-0.00
13.107,0.00,-0.00,-0.00
13.107,0.00,0.00,-0.00
13.112,0.00,-0.00,-0.00
13.113,0.00,-0.00,-0.00
13.117,0.00,-0.00,-0.00
13.118,-0.00,-0.00,-0.00
13.123,-0.01,0.00,-0.00
13.123,-0.01,-0.00,-0.00
13.127,-0.01,0.00,-0.00
13.128,-0.01,0.00,-0.00
13.131,-0.02,0.00,-0.00
13.131,-0.02,0.01,-0.00
13.139,-0.02,0.01,-0.00
13.139,-0.03,0.01,-0.00
13.141,-0.03,0.01,-0.00
13.141,-0.03,0.02,-0.00
13.145,-0.03,0.03,-0.00
13.146,-0.02,0.04,-0.00
13.151,-0.02,0.05,-0.00
13.152,-0.02,0.06,-0.00
13.156,-0.02,0.06,-0.00
13.156,-0.02,0.06,-0.00
13.160,-0.02,0.06,-0.00
13.161,-0.01,0.04,-0.00
13.165,-0.02,0.03,-0.01
13.166,-0.01,0.02,-0.01
13.172,-0.01,0.01,-0.01
13.173,0.00,0.01,-0.01
13.175,0.00,0.01,-0.01
13.175,0.01,0.02,-0.01
13.179,0.01,0.01,-0.01
13.179,0.01,0.00,-0.01
13.185,0.01,-0.01,-0.00
13.185,0.01,-0.01,-0.01
13.190,0.01,-0.02,-0.00
13.190,0.00,-0.03,-0.00
13.199,0.00,-0.03,-0.01
13.199,-0.00,-0.04,-0.01
13.200,-0.01,-0.04,-0.01
13.200,-0.01,-0.03,-0.01
13.211,-0.01,-0.02,-0.01
13.211,-0.02,-0.02,-0.01
13.211,-0.02,-0.01,-0.01
13.211,-0.02,-0.00,-0.01
13.218,-0.02,0.01,-0.01
13.218,-0.01,0.01,-0.01
13.219,-0.01,0.01,-0.01
13.219,-0.01,0.00,-0.01
13.224,-0.01,0.00,-0.00
13.225,0.00,-0.01,-0.00
13.228,0.01,-0.01,-0.00
13.229,0.02,-0.01,-0.00
13.233,0.02,-0.01,-0.00
13.233,0.03,-0.01,-0.00
13.238,0.03,-0.01,-0.00
13.239,0.03,-0.01,-0.00
13.243,0.04,-0.01,-0.00
13.243,0.04,-0.01,0.00
13.248,0.04,-0.01,-0.00
13.248,0.03,-0.00,0.00
13.253,0.03,-0.00,0.00
13.253,0.03,-0.00,-0.00
13.258,0.03,-0.00,-0.00
13.259,0.02,0.00,-0.00
13.263,0.02,0.00,-0.00
13.263,0.01,0.00,-0.00
13.268,0.01,0.00,-0.00
13.268,0.01,0.00,-0.00
13.272,0.00,0.00,-0.00
13.273,0.00,0.01,-0.00
13.277,-0.00,0.01,0.00
13.277,-0.01,0.01,0.00
13.285,-0.01,0.01,0.00
13.285,-0.01,0.01,0.00
13.291,-0.01,0.01,0.00
13.291,-0.01,0.01,0.00
13.299,-0.02,0.01,0.00
13.299,-0.01,0.01,0.00
13.299,-0.02,0.01,-0.00
13.300,-0.02,0.00,-0.00
13.302,-0.02,0.01,-0.01
13.302,-0.02,0.01,-0.00
13.307,-0.02,0.01,-0.01
13.307,-0.02,0.01,-0.01
13.312,-0.01,0.00,-0.01
13.313,-0.01,0.01,-0.01
13.317,-0.01,0.01,-0.01
13.317,-0.01,0.00,-0.01
13.322,-0.01,0.01,-0.01
13.323,-0.01,0.00,-0.01
13.328,-0.00,0.01,-0.01
13.328,-0.00,0.01,-0.01
13.331,-0.00,0.01,-0.01
13.331,0.00,0.01,-0.01
13.337,0.00,0.01,-0.01
13.337,0.00,0.01,-0.01
13.341,0.00,0.01,-0.01
13.342,0.00,0.01,-0.00
13.346,0.00,0.01,-0.00
13.346,0.00,0.01,-0.00
13.350,0.00,0.01,-0.00
13.351,0.00,0.01,-0.00
13.356,0.00,0.01,0.00
13.356,0.00,0.01,-0.00
13.362,-0.00,0.01,0.00
13.362,-0.00,0.00,0.00
13.365,-0.00,0.00,0.00
13.366,-0.00,0.00,-0.00
13.371,-0.00,0.00,-0.00
13.371,-0.00,-0.00,-0.00
13.375,-0.00,-0.00,-0.00
13.375,-0.00,-0.00,-0.00
13.380,-0.01,0.00,-0.00
13.381,-0.01,0.00,-0.00
13.384,-0.00,-0.00,-0.00
13.385,-0.01,0.00,-0.00
13.391,-0.01,0.00,-0.00
13.391,-0.01,0.00,-0.00
13.394,-0.01,0.00,-0.00
13.395,-0.01,0.00,-0.00
13.400,-0.01,0.00,-0.00
13.401,-0.01,0.00,-0.01
13.404,-0.01,0.00,-0.00
13.405,-0.01,-0.00,-0.00
13.409,-0.01,-0.00,-0.01
13.410,-0.01,0.00,-0.01
13.414,-0.01,0.00,-0.01
13.418,-0.00,-0.00,-0.01
13.419,-0.00,-0.00,-0.01
13.419,-0.01,-0.00,-0.01
13.426,-0.01,-0.00,-0.01
13.426,-0.01,-0.00,-0.01
13.435,-0.01,-0.00,-0.01
13.435,-0.01,-0.00,-0.01
13.435,-0.01,-0.00,-0.01
13.436,-0.01,-0.00,-0.01
13.438,-0.01,-0.01,-0.01
13.439,-0.01,-0.01,-0.01
13.444,-0.01,-0.00,-0.01
13.444,-0.01,-0.01,-0.01
13.448,-0.01,-0.01,-0.00
13.448,-0.01,-0.01,-0.00
13.453,-0.01,-0.01,-0.00
13.454,-0.01,-0.01,-0.00
13.458,-0.01,-0.01,-0.00
13.458,-0.01,-0.01,-0.00
13.462,-0.01,-0.01,-0.00
13.463,-0.01,-0.01,0.00
13.468,-0.01,-0.00,0.00
13.468,-0.01,-0.00,-0.00
13.472,-0.01,0.00,0.00
13.473,-0.01,-0.00,0.00
13.478,-0.01,-0.00,0.00
13.478,-0.01,-0.01,0.00
13.483,-0.01,-0.01,0.00
13.484,-0.01,-0.02,-0.00
13.488,-0.01,-0.02,0.00
13.488,-0.01,-0.01,-0.00
13.493,-0.02,-0.01,-0.00
13.494,-0.02,-0.01,-0.00
13.497,-0.02,-0.00,-0.00
13.497,-0.03,0.01,-0.00
13.502,-0.04,0.02,-0.00
13.503,-0.04,0.02,-0.00
13.507,-0.05,0.02,-0.00
13.507,-0.05,0.02,-0.01
13.512,-0.05,0.02,-0.01
13.512,-0.05,0.02,-0.01
13.516,-0.04,0.01,-0.01
13.517,-0.04,0.00,-0.01
13.522,-0.03,-0.01,-0.01
13.523,-0.02,-0.01,-0.02
13.526,-0.01,-0.01,-0.02
13.526,-0.00,-0.01,-0.01
13.532,0.01,-0.01,-0.01
13.532,0.02,-0.01,-0.01
13.536,0.02,-0.01,-0.01
13.536,0.03,-0.01,-0.01
13.541,0.03,-0.01,-0.01
13.541,0.03,-0.00,-0.01
13.546,0.03,-0.00,-0.00
13.546,0.03,-0.01,-0.00
13.553,0.03,-0.01,-0.00
13.553,0.02,-0.00,0.00
13.556,0.02,-0.00,0.00
13.556,0.01,-0.00,0.00
13.568,0.00,0.00,0.00
13.569,-0.00,0.00,0.00
13.569,-0.01,0.01,0.00
13.569,-0.01,0.01,0.00
13.573,-0.01,0.01,0.01
13.574,-0.01,0.01,0.00
13.575,-0.02,0.01,0.00
13.575,-0.02,0.01,0.00
13.581,-0.01,0.01,0.00
13.581,-0.01,0.00,0.00
13.585,-0.01,0.00,0.00
13.586,-0.01,-0.00,0.00
13.590,-0.01,-0.00,0.00
13.590,-0.01,-0.00,0.00
13.595,-0.01,-0.00,0.00
13.595,-0.01,-0.00,0.00
13.599,-0.01,-0.00,0.00
13.599,-0.01,0.00,0.00
13.605,-0.01,-0.00,0.00
13.606,-0.01,0.00,0.00
13.609,-0.01,0.00,0.00
13.610,-0.02,0.01,-0.00
13.614,-0.02,0.01,-0.00
13.616,-0.02,0.01,-0.00
13.619,-0.01,0.01,-0.01
13.619,-0.02,0.01,-0.01
13.624,-0.01,0.01,-0.01
13.624,-0.01,0.01,-0.01
13.628,-0.01,0.00,-0.01
13.629,-0.00,0.00,-0.01
13.634,-0.00,-0.00,-0.01
13.634,0.00,-0.01,-0.01
13.640,0.00,-0.01,-0.01
13.640,0.01,-0.01,-0.01
13.643,0.01,-0.01,-0.00
13.643,0.01,-0.01,-0.00
13.648,0.01,-0.01,-0.00
13.649,0.01,-0.01,-0.00
13.653,0.01,-0.01,-0.00
13.653,0.01,-0.01,-0.00
13.658,0.00,-0.01,-0.00
13.659,0.00,-0.01,0.00
13.663,-0.00,-0.01,0.00
13.664,0.00,-0.01,-0.00
13.668,-0.00,-0.01,-0.00
13.668,-0.01,-0.00,0.00
13.677,-0.01,-0.00,0.00
13.678,-0.01,-0.00,-0.00
13.678,-0.01,-0.00,-0.00
13.678,-0.01,-0.00,-0.00
13.683,-0.01,-0.00,-0.01
13.684,-0.01,-0.00,-0.01
13.687,-0.01,-0.00,-0.01
13.687,-0.01,-0.00,-0.01
13.692,-0.01,-0.00,-0.01
13.692,-0.01,0.00,-0.01
13.697,-0.01,0.00,-0.01
13.698,-0.01,0.00,-0.00
13.702,-0.01,0.00,-0.01
13.702,-0.01,0.00,-0.01
13.707,-0.00,0.01,-0.01
13.707,-0.01,0.01,-0.01
13.712,-0.01,0.01,-0.01
13.712,-0.00,0.01,-0.01
13.718,-0.00,0.01,-0.01
13.719,-0.00,0.00,-0.01
13.722,-0.00,0.00,-0.01
13.722,-0.00,0.00,-0.01
13.728,-0.00,0.01,-0.01
13.729,-0.00,0.00,-0.01
13.731,-0.00,0.00,-0.01
13.732,0.00,0.00,-0.01
13.736,0.00,0.00,-0.01
13.736,0.00,0.00,-0.00
13.741,0.00,0.00,-0.00
13.742,0.00,0.01,-0.00
13.746,0.00,0.00,-0.00
13.746,0.00,0.00,-0.00
13.751,0.00,0.01,-0.00
13.751,0.00,0.01,-0.00
13.756,0.00,0.01,-0.00
13.756,-0.00,0.01,-0.00
13.761,-0.00,0.01,-0.00
13.762,-0.00,0.01,-0.00
13.765,-0.00,0.01,-0.00
13.765,-0.00,0.01,-0.00
13.770,-0.00,0.01,-0.00
13.770,-0.00,0.01,-0.00
13.775,-0.00,0.01,-0.00
13.775,-0.00,0.01,-0.00
13.780,-0.00,0.01,-0.00
13.781,-0.00,0.01,-0.00
13.785,-0.00,0.01,-0.00
13.786,-0.00,0.00,-0.00
13.791,-0.00,0.00,-0.00
13.792,-0.00,0.00,-0.00
13.800,-0.00,0.00,-0.00
13.800,-0.00,0.00,-0.01
13.800,-0.00,0.01,-0.00
13.800,0.00,0.01,-0.00
13.805,-0.00,0.01,-0.00
13.806,-0.00,0.00,-0.00
13.809,-0.00,0.00,-0.00
13.810,-0.00,0.00,-0.00
13.814,0.00,0.00,-0.00
13.814,0.00,0.00,-0.00
13.819,-0.00,0.00,-0.00
13.819,-0.00,0.00,-0.00
13.825,0.00,0.00,-0.00
13.825,0.00,0.00,-0.00
13.829,0.00,0.00,-0.00
13.830,0.00,0.00,-0.00
13.834,0.00,0.00,-0.00
13.834,0.00,0.00,-0.00
13.840,0.00,0.00,-0.00
13.841,-0.00,0.00,-0.00
13.843,0.00,0.00,-0.00
13.844,-0.00,0.00,-0.00
13.848,-0.00,0.00,-0.01
13.848,-0.00,0.00,-0.01
13.853,-0.00,0.00,-0.00
13.854,-0.00,0.00,-0.01
13.858,-0.00,0.00,-0.00
13.859,-0.00,0.00,-0.00
13.862,-0.00,0.00,-0.00
13.863,-0.01,0.00,-0.00
13.868,-0.01,0.00,-0.00
13.868,-0.01,0.00,-0.00
13.872,-0.01,0.00,-0.00
13.873,-0.01,0.00,-0.01
13.878,-0.01,0.01,-0.00
13.879,-0.01,0.01,-0.00
13.883,-0.01,0.01,-0.00
13.883,-0.01,0.01,-0.00
13.887,-0.01,0.01,-0.00
13.887,-0.01,0.01,-0.00
13.892,-0.01,0.01,-0.00
13.892,-0.01,0.01,-0.00
13.903,-0.01,0.01,-0.00
13.903,-0.01,0.01,-0.01
13.903,-0.01,0.01,-0.00
13.903,-0.01,0.01,-0.01
13.907,-0.01,0.01,-0.00
13.907,-0.01,0.00,-0.01
13.912,-0.01,0.00,-0.00
13.913,-0.00,0.01,-0.00
13.917,-0.00,0.00,-0.00
13.917,-0.00,-0.00,-0.00
13.922,0.00,-0.00,-0.00
13.922,-0.00,-0.01,-0.00
13.927,-0.00,-0.01,-0.00
13.927,-0.00,-0.01,-0.00
13.931,0.00,-0.01,-0.01
13.932,-0.00,-0.01,-0.00
13.936,-0.00,-0.01,-0.00
13.937,-0.00,-0.01,-0.00
13.941,-0.01,-0.01,-0.00
13.941,-0.01,-0.00,-0.00
13.946,-0.01,-0.00,-0.00
13.947,-0.01,0.00,-0.00
13.951,-0.02,0.01,-0.00
13.951,-0.02,0.01,-0.00
13.956,-0.02,0.01,0.00
13.956,-0.02,0.02,0.00
13.962,-0.02,0.02,-0.00
13.963,-0.02,0.03,0.00
13.965,-0.02,0.04,0.00
13.965,-0.02,0.05,0.00
13.971,-0.02,0.05,0.00
13.971,-0.02,0.06,0.00
13.975,-0.02,0.06,0.00
13.976,-0.02,0.06,0.00
13.980,-0.02,0.05,0.00
13.981,-0.02,0.04,0.00
13.985,-0.01,0.03,-0.00
13.985,-0.01,0.03,-0.00
13.990,-0.00,0.02,-0.00
13.990,0.00,0.01,-0.01
13.995,0.01,0.00,-0.01
13.996,0.02,-0.01,-0.01
14.000,0.02,-0.02,-0.01
14.001,0.02,-0.03,-0.01
14.006,0.02,-0.03,-0.01
14.006,0.02,-0.04,-0.00
14.009,0.01,-0.05,-0.01
14.009,0.01,-0.05,-0.01
14.014,0.01,-0.05,-0.01
14.014,0.00,-0.04,-0.01
14.020,-0.00,-0.04,-0.00
14.020,-0.01,-0.02,-0.00
14.028,-0.01,-0.01,-0.00
14.028,-0.01,-0.01,-0.00
14.028,-0.01,0.00,-0.00
14.034,-0.01,0.00,-0.00
14.034,-0.01,-0.00,-0.00
14.034,-0.00,-0.00,-0.00
14.039,0.00,-0.00,-0.00
14.040,0.01,-0.00,-0.00
14.044,0.02,-0.01,-0.00
14.044,0.02,-0.01,-0.00
14.048,0.03,-0.01,-0.00
14.049,0.03,-0.01,0.00
14.053,0.04,-0.01,0.00
14.053,0.04,-0.01,0.00
14.058,0.04,-0.01,0.00
14.059,0.04,-0.00,0.00
14.063,0.04,-0.01,0.00
14.063,0.04,-0.01,0.00
14.068,0.03,-0.00,0.00
14.069,0.03,-0.00,-0.00
14.074,0.03,-0.00,0.00
14.075,0.02,0.00,-0.00
14.077,0.02,0.00,-0.00
14.077,0.01,0.00,-0.00
14.083,0.01,0.01,-0.00
14.083,0.01,0.01,-0.00
14.087,0.01,0.00,-0.00
14.088,0.00,0.01,-0.00
14.092,0.00,0.01,0.00
14.092,0.00,0.00,-0.00
14.097,0.00,0.00,0.00
14.098,-0.00,-0.00,0.00
14.102,-0.00,-0.00,0.00
14.102,-0.00,-0.01,0.00
14.107,-0.00,-0.01,0.00
14.107,-0.00,-0.01,0.00
14.112,-0.00,-0.00,0.00
14.112,-0.00,-0.00,0.00
14.120,-0.01,-0.00,0.00
14.121,-0.00,-0.00,0.00
14.127,-0.00,0.00,0.00
14.127,-0.01,0.00,0.00
14.128,-0.01,0.00,0.00
14.129,-0.01,0.00,-0.00
14.133,-0.01,0.00,-0.00
14.133,-0.01,0.00,-0.00
14.136,-0.01,0.00,-0.00
14.136,-0.00,0.01,-0.00
14.141,-0.00,0.01,-0.00
14.141,-0.00,0.01,-0.00
14.146,0.00,0.00,-0.01
14.147,0.00,0.01,-0.01
14.152,0.00,0.01,-0.00
14.152,0.00,0.01,-0.00
14.156,0.00,0.01,-0.00
14.157,0.00,0.01,-0.00
14.160,0.00,0.01,-0.00
14.161,0.00,0.00,-0.00
14.165,0.00,0.00,-0.00
14.166,0.00,0.01,-0.00
14.171,0.00,0.01,-0.00
14.171,-0.00,0.00,-0.00
14.174,-0.00,-0.00,-0.00
14.175,-0.00,0.00,-0.00
14.180,-0.00,-0.00,-0.01
14.180,-0.00,0.00,-0.00
14.184,-0.01,-0.00,-0.00
14.185,-0.00,-0.00,-0.00
14.191,-0.00,-0.00,-0.00
14.191,-0.00,-0.00,-0.00
14.194,-0.00,-0.00,-0.00
14.196,-0.00,-0.00,-0.00
14.199,0.00,-0.00,-0.00
14.200,-0.00,-0.00,-0.00
14.204,0.00,-0.00,-0.00
14.204,0.00,-0.00,-0.00
14.209,0.00,-0.00,-0.00
14.209,0.00,-0.00,-0.00
14.215,0.00,-0.00,-0.00
14.215,0.01,-0.00,-0.00
14.219,0.01,-0.00,-0.01
14.220,0.01,-0.00,-0.01
14.224,0.01,0.00,-0.01
14.225,0.00,0.00,-0.00
14.229,0.00,0.00,-0.01
14.229,0.00,0.00,-0.01
14.234,0.00,0.00,-0.01
14.234,0.00,-0.00,-0.01
14.239,0.00,-0.00,-0.01
14.239,0.00,-0.00,-0.01
14.244,0.00,-0.00,-0.01
14.244,-0.00,-0.00,-0.00
14.248,-0.00,-0.00,-0.00
14.248,-0.00,-0.00,-0.00
14.254,0.00,-0.00,-0.00
14.254,-0.00,-0.00,-0.00
14.259,0.00,-0.00,-0.00
14.259,0.00,-0.00,-0.00
14.266,0.00,-0.00,-0.00
14.267,0.01,-0.00,-0.00
14.268,0.01,0.00,-0.00
14.268,0.01,-0.00,-0.00
14.273,0.01,-0.00,-0.00
14.274,0.01,0.00,-0.00
14.278,0.01,0.00,-0.00
14.278,0.01,0.00,-0.00
14.283,0.01,0.00,-0.00
14.283,0.01,-0.00,-0.00
14.287,0.01,-0.01,-0.00
14.287,0.01,-0.01,-0.00
14.292,0.01,-0.02,-0.00
14.292,0.00,-0.02,-0.00
14.297,0.00,-0.02,-0.00
14.297,-0.00,-0.02,-0.00
14.302,-0.01,-0.01,-0.00
14.303,-0.01,-0.01,-0.00
14.307,-0.01,-0.00,-0.00
14.307,-0.01,0.01,-0.00
14.311,-0.01,0.01,-0.00
14.312,-0.02,0.01,-0.00
14.317,-0.02,0.01,-0.00
14.317,-0.02,0.02,-0.01
14.321,-0.02,0.01,-0.01
14.322,-0.02,0.01,-0.01
14.327,-0.02,0.01,-0.01
14.327,-0.02,0.00,-0.01
14.331,-0.01,0.01,-0.01
14.331,-0.01,0.01,-0.00
14.336,-0.01,0.01,-0.00
14.336,-0.00,0.02,-0.01
14.342,0.00,0.01,-0.00
14.342,0.01,0.01,-0.00
14.346,0.01,0.01,-0.00
14.346,0.02,0.00,-0.00
14.353,0.02,-0.00,-0.00
14.353,0.03,-0.01,-0.00
14.355,0.03,-0.01,-0.00
14.356,0.04,-0.01,-0.01
14.361,0.04,-0.01,-0.01
14.362,0.03,-0.01,-0.01
14.365,0.03,-0.00,-0.01
14.366,0.03,-0.00,-0.01
14.371,0.02,-0.00,-0.01
14.371,0.02,-0.00,-0.01
14.377,0.01,-0.00,-0.01
14.378,0.01,0.00,-0.01
14.380,0.00,0.00,-0.01
14.380,0.00,-0.00,-0.01
14.391,0.00,0.00,-0.01
14.391,-0.00,0.00,-0.00
14.391,-0.00,-0.00,-0.01
14.392,-0.00,-0.00,-0.00
14.396,-0.00,-0.00,-0.00
14.396,0.01,-0.00,-0.00
14.400,0.01,-0.00,0.00
14.400,0.00,-0.00,0.00
14.405,0.01,-0.01,0.00
14.405,0.01,-0.01,0.00
14.409,0.01,-0.01,0.00
14.410,0.01,-0.00,0.00
14.414,0.01,-0.00,0.00
14.414,0.00,-0.00,0.00
14.420,0.00,0.00,0.00
14.421,-0.00,0.00,0.00
14.424,-0.00,0.00,-0.00
14.424,-0.00,0.01,0.00
14.429,-0.01,0.01,0.00
14.430,-0.01,0.01,0.00
14.434,-0.00,0.01,-0.00
14.434,-0.01,0.01,-0.00
14.439,-0.01,0.00,-0.00
14.439,-0.00,0.00,-0.00
14.443,0.00,-0.00,-0.00
14.444,0.00,-0.00,-0.00
14.449,0.01,-0.00,-0.00
14.449,0.01,-0.01,-0.00
14.453,0.01,-0.01,-0.00
14.453,0.01,-0.01,-0.00
14.458,0.01,-0.01,-0.00
14.459,0.01,-0.01,-0.00
14.463,0.01,-0.01,-0.00
14.463,0.01,-0.01,-0.00
14.468,0.01,-0.01,-0.00
14.469,0.00,-0.00,-0.00
14.474,-0.00,-0.00,-0.00
14.474,-0.01,-0.00,-0.00
14.478,-0.01,-0.00,-0.00
14.478,-0.01,0.00,-0.00
14.482,-0.01,0.00,-0.00
14.483,-0.02,0.00,-0.00
14.487,-0.02,-0.00,-0.00
14.487,-0.02,0.00,-0.00
14.493,-0.01,0.00,-0.00
14.494,-0.01,-0.00,-0.00
14.499,-0.01,-0.00,-0.00
14.500,-0.01,-0.00,-0.00
14.505,-0.00,0.00,-0.00
14.505,0.00,0.00,-0.00
14.513,0.00,0.00,-0.00
14.513,0.01,0.00,-0.00
14.514,0.01,-0.00,-0.00
14.514,0.01,-0.00,-0.00
14.519,0.01,-0.00,-0.00
14.520,0.01,0.00,-0.00
14.521,0.01,-0.00,-0.00
14.521,0.01,-0.00,-0.00
14.526,0.01,-0.00,-0.00
14.526,0.01,-0.00,-0.00
14.531,0.01,-0.00,-0.00
14.532,0.01,0.00,-0.00
14.536,0.00,0.01,-0.00
14.536,0.00,0.01,-0.00
14.542,0.00,0.01,-0.00
14.543,0.00,0.01,-0.00
14.546,0.00,0.01,-0.00
14.546,0.00,0.01,-0.00
14.552,0.00,0.00,-0.00
14.552,0.00,0.00,-0.00
14.556,0.00,0.00,-0.00
14.556,0.00,0.00,-0.00
14.561,0.00,0.01,-0.00
14.561,0.00,0.00,-0.00
14.565,0.01,0.00,-0.00
14.565,0.01,0.00,-0.00
14.571,0.01,0.00,-0.00
14.571,0.01,0.00,-0.00
14.576,0.01,-0.00,-0.00
14.577,0.01,-0.00,-0.00
14.581,0.00,-0.00,-0.00
14.581,0.00,0.00,-0.00
14.585,0.00,0.00,-0.00
14.586,0.00,0.01,-0.00
14.590,-0.00,0.01,-0.00
14.590,-0.00,0.01,-0.00
14.595,-0.00,0.00,-0.00
14.597,-0.01,0.01,-0.00
14.600,-0.01,0.01,-0.00
14.600,-0.01,0.00,-0.00
14.605,-0.01,0.01,-0.00
14.606,-0.01,0.01,-0.00
14.611,-0.01,0.01,-0.00
14.611,-0.00,0.01,-0.00
14.617,-0.00,0.00,-0.00
14.617,-0.00,0.00,-0.00
14.627,-0.00,0.00,-0.00
14.627,0.00,0.00,-0.00
14.628,0.00,0.00,-0.00
14.628,0.00,0.00,-0.00
14.631,0.00,0.00,-0.00
14.632,-0.00,0.00,-0.00
14.633,-0.00,0.00,-0.00
14.634,-0.00,0.00,-0.00
14.639,-0.00,-0.00,-0.00
14.639,-0.00,-0.00,-0.00
14.643,-0.00,0.00,-0.00
14.643,-0.00,-0.00,-0.00
14.649,-0.00,0.00,-0.00
14.649,-0.01,0.00,-0.00
14.653,-0.00,0.01,-0.00
14.654,-0.01,0.00,-0.00
14.658,-0.00,0.00,-0.00
14.658,-0.00,0.00,-0.00
14.665,-0.00,0.00,-0.00
14.665,-0.00,-0.00,-0.00
14.668,-0.00,-0.01,-0.00
14.668,0.00,-0.01,-0.00
14.674,-0.00,-0.01,-0.00
14.674,-0.00,-0.01,-0.00
14.678,-0.00,-0.01,-0.00
14.678,-0.00,-0.01,-0.00
14.683,-0.01,-0.01,-0.00
14.683,-0.01,-0.00,-0.00
14.687,-0.01,0.00,-0.00
14.688,-0.02,0.01,-0.00
14.693,-0.02,0.01,-0.00
14.693,-0.02,0.01,-0.00
14.697,-0.03,0.02,-0.00
14.697,-0.03,0.02,0.00
14.702,-0.03,0.02,-0.00
14.703,-0.03,0.03,-0.00
14.711,-0.03,0.03,-0.00
14.711,-0.02,0.04,-0.00
14.719,-0.02,0.05,-0.00
14.719,-0.01,0.06,0.00
14.719,-0.01,0.07,-0.00
14.720,-0.01,0.07,-0.00
14.723,-0.01,0.07,-0.00
14.723,-0.01,0.06,-0.00
14.727,-0.01,0.05,-0.00
14.727,-0.01,0.04,-0.00
14.731,-0.01,0.03,-0.01
14.732,-0.00,0.03,-0.01
14.736,0.01,0.02,-0.01
14.736,0.01,0.02,-0.01
14.741,0.01,0.01,-0.01
14.741,0.02,0.00,-0.01
14.746,0.02,-0.01,-0.01
14.746,0.01,-0.01,-0.00
14.751,0.01,-0.02,-0.00
14.751,0.01,-0.03,-0.00
14.756,0.00,-0.04,-0.00
14.757,-0.00,-0.05,-0.01
