time,wx (rad/s),wy (rad/s),wz (rad/s)
5.882,0.02,-0.01,-0.01
5.882,0.02,-0.02,-0.01
5.886,0.02,-0.02,-0.01
5.887,0.02,-0.02,-0.01
5.891,0.02,-0.02,-0.00
5.891,0.02,-0.02,-0.00
5.897,0.01,-0.02,-0.00
5.897,0.01,-0.01,0.00
5.902,0.00,-0.01,0.00
5.902,0.00,-0.01,0.00
5.907,-0.00,-0.00,0.00
5.907,-0.01,-0.00,0.00
5.910,-0.01,-0.00,0.00
5.911,-0.01,-0.00,0.00
5.915,-0.01,-0.00,0.00
5.915,-0.01,-0.00,0.00
5.920,-0.01,-0.00,0.00
5.920,-0.00,-0.00,0.00
5.925,-0.00,-0.01,0.00
5.925,0.00,-0.01,0.00
5.930,0.00,-0.01,0.00
5.931,0.00,-0.01,0.00
5.935,0.00,-0.01,0.00
5.935,0.00,-0.01,0.00
5.939,0.00,-0.01,-0.00
5.940,0.00,-0.01,-0.00
5.944,0.00,-0.01,0.00
5.945,-0.00,-0.00,0.00
5.951,-0.00,0.00,0.00
5.951,-0.01,0.01,0.00
5.954,-0.01,0.01,-0.00
5.955,-0.01,0.01,-0.00
5.959,-0.01,0.01,-0.00
5.960,-0.01,0.01,-0.00
5.964,-0.01,0.01,-0.00
5.964,-0.01,0.00,-0.00
5.970,-0.01,-0.00,-0.00
5.970,-0.00,-0.01,-0.00
5.975,-0.00,-0.01,-0.00
5.976,0.00,-0.01,-0.00
5.979,0.00,-0.01,-0.00
5.980,0.00,-0.01,-0.00
5.985,0.00,-0.02,0.00
5.985,0.00,-0.01,0.00
5.988,0.00,-0.01,0.00
5.988,0.00,-0.01,0.01
5.994,-0.00,-0.01,0.01
5.994,-0.01,-0.00,0.01
5.998,-0.01,-0.00,0.01
5.999,-0.02,0.00,0.00
6.003,-0.02,0.00,0.00
6.003,-0.02,0.00,0.00
6.008,-0.02,0.00,0.00
6.009,-0.02,0.00,-0.00
6.014,-0.02,0.00,0.00
6.014,-0.02,-0.00,-0.00
6.018,-0.01,-0.00,-0.01
6.019,-0.01,-0.00,-0.01
6.023,-0.01,-0.00,-0.01
6.024,-0.00,-0.00,-0.01
6.029,-0.00,-0.00,-0.01
6.029,0.00,-0.00,-0.01
6.032,0.01,-0.00,-0.01
6.033,0.01,-0.01,-0.01
6.038,0.01,-0.01,-0.01
6.039,0.01,-0.01,-0.01
6.044,0.01,-0.01,-0.01
6.045,0.01,-0.01,-0.01
6.047,0.01,-0.00,-0.01
6.047,0.00,-0.00,-0.01
6.052,0.00,-0.00,-0.01
6.053,0.00,0.00,-0.00
6.058,-0.00,0.00,-0.00
6.058,-0.00,0.00,-0.00
6.062,-0.00,0.00,0.00
6.062,-0.01,0.00,0.00
6.067,-0.01,0.00,0.00
6.067,-0.01,0.00,0.00
6.071,-0.01,0.00,0.01
6.072,-0.01,-0.00,0.01
6.076,-0.01,-0.00,0.01
6.077,-0.01,-0.01,0.01
6.081,-0.01,-0.01,0.01
6.081,-0.01,-0.01,0.01
6.086,-0.00,-0.01,0.01
6.086,-0.00,-0.01,0.01
6.091,-0.00,-0.01,0.01
6.091,-0.00,-0.01,0.01
6.096,-0.00,-0.01,0.01
6.096,-0.00,-0.01,0.01
6.101,-0.01,-0.01,0.01
6.101,-0.01,-0.01,0.01
6.107,-0.01,-0.01,0.01
6.108,-0.01,-0.00,0.00
6.110,-0.02,0.00,0.00
6.111,-0.02,0.00,0.00
6.116,-0.02,0.01,0.00
6.116,-0.03,0.01,0.00
6.120,-0.04,0.02,0.00
6.120,-0.04,0.02,0.00
6.126,-0.04,0.03,0.00
6.126,-0.04,0.03,0.00
6.131,-0.04,0.04,0.00
6.132,-0.04,0.05,0.00
6.135,-0.03,0.06,0.00
6.135,-0.03,0.08,0.01
6.145,-0.03,0.08,0.01
6.146,-0.03,0.09,0.01
6.146,-0.03,0.08,0.01
6.147,-0.03,0.08,0.01
6.150,-0.02,0.07,0.01
6.150,-0.02,0.06,0.01
6.154,-0.02,0.04,0.01
6.155,-0.02,0.02,0.01
6.159,-0.01,0.00,0.01
